id,dataset_id,file_name,file_url,size,local_path,downloaded_at
1,1,Description of the data set.pdf,https://zenodo.org/api/records/14535515/files/Description of the data set.pdf/content,368372,archive\zenodo\14535515_Polish_debates_on_higher_education_in_the_Sejm_and_party_manifestos\Description of the data set.pdf,2026-03-06T18:57:55.917689+00:00
2,1,Polish debates on higher education party manifestos.qdpx,https://zenodo.org/api/records/14535515/files/Polish debates on higher education party manifestos.qdpx/content,30921406,archive\zenodo\14535515_Polish_debates_on_higher_education_in_the_Sejm_and_party_manifestos\Polish debates on higher education party manifestos.qdpx,2026-03-06T18:57:55.917689+00:00
3,1,Polish debates on higher education party manifestos.mx20,https://zenodo.org/api/records/14535515/files/Polish debates on higher education party manifestos.mx20/content,37920768,archive\zenodo\14535515_Polish_debates_on_higher_education_in_the_Sejm_and_party_manifestos\Polish debates on higher education party manifestos.mx20,2026-03-06T18:57:55.917689+00:00
4,1,DiscussData-polish-debates-on-higher-education-in-the-sejm-and-party-manifestos-v1.1-description.pdf,https://zenodo.org/api/records/14535515/files/DiscussData-polish-debates-on-higher-education-in-the-sejm-and-party-manifestos-v1.1-description.pdf/content,55021,archive\zenodo\14535515_Polish_debates_on_higher_education_in_the_Sejm_and_party_manifestos\DiscussData-polish-debates-on-higher-education-in-the-sejm-and-party-manifestos-v1.1-description.pdf,2026-03-06T18:57:55.917689+00:00
5,1,Polish debates on higher education party manifestos.mx22,https://zenodo.org/api/records/14535515/files/Polish debates on higher education party manifestos.mx22/content,44384256,archive\zenodo\14535515_Polish_debates_on_higher_education_in_the_Sejm_and_party_manifestos\Polish debates on higher education party manifestos.mx22,2026-03-06T18:57:55.917689+00:00
6,2,EFL_ILP_ScopingReview_CodedData_20250718.qdpx,https://zenodo.org/api/records/16082705/files/EFL_ILP_ScopingReview_CodedData_20250718.qdpx/content,70748772,archive\zenodo\16082705_Supporting_Data_for_Scoping_Review_on_Interlanguage_Pragmatics_in_EFL_Contexts\EFL_ILP_ScopingReview_CodedData_20250718.qdpx,2026-03-06T18:58:09.961690+00:00
7,2,Theme_year.xlsx,https://zenodo.org/api/records/16082705/files/Theme_year.xlsx/content,19364,archive\zenodo\16082705_Supporting_Data_for_Scoping_Review_on_Interlanguage_Pragmatics_in_EFL_Contexts\Theme_year.xlsx,2026-03-06T18:58:09.961690+00:00
8,2,S2_Table. Data Charting and CCAT Scores of 56 Articles.docx,https://zenodo.org/api/records/16082705/files/S2_Table. Data Charting and CCAT Scores of 56 Articles.docx/content,55604,archive\zenodo\16082705_Supporting_Data_for_Scoping_Review_on_Interlanguage_Pragmatics_in_EFL_Contexts\S2_Table. Data Charting and CCAT Scores of 56 Articles.docx,2026-03-06T18:58:09.961690+00:00
9,2,Country_Article counts.xlsx,https://zenodo.org/api/records/16082705/files/Country_Article counts.xlsx/content,17460,archive\zenodo\16082705_Supporting_Data_for_Scoping_Review_on_Interlanguage_Pragmatics_in_EFL_Contexts\Country_Article counts.xlsx,2026-03-06T18:58:09.961690+00:00
10,3,voluntariado_exemplo_MAXQDA_V4.mx24,https://zenodo.org/api/records/11445692/files/voluntariado_exemplo_MAXQDA_V4.mx24/content,13606912,archive\zenodo\11445692_MAXQDA_Ficheiro_de_Exemplo\voluntariado_exemplo_MAXQDA_V4.mx24,2026-03-06T18:58:21.525175+00:00
